impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K21-141171,A651176,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2338518,LOST,Toulouse,Cat,Under 1 year<p/>,Male,Domestic Shorthair,Unknown,10/19/2021 0:00,Date Lost,NEAR  MAGNOLICA COLLECTION,ARBORETUM DR E PARK ARBORETUM SEATTLE,,98112,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2338518,Image Copyright HLP Inc. 2021,"<p/>Age: Under 1 year<p/>Location Lost: Near Magnolica Collection, Arboretum Dr E WA Park Arboretum, Seattle 98112, Seattle WA  98105<p/>Lost Date: 10/19/2021<p/>",
K21-141617,A652369,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2348635,LOST,Maverick,Dog,Over 1 year<p/>,Male,Labrador Retriever,Unknown,11/7/2021 0:00,Date Lost,HOME HOME,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2348635,Image Copyright HLP Inc. 2021,"Description: Black, short male, 4 years old<p/>Age: Over 1 year<p/>Location Lost: Home, Auburn WA  98092<p/>Lost Date: 11/07/2021<p/>",
K21-141640,A652446,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652446,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ramen,Cat,6 YEARS,Spayed Female,Domestic Shorthair,Black / White,11/8/2021 0:00,Received on,25900 block of  REITH RD,KENT,WA,98032,KENT,47.369839,-122.281777,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652446,Image Copyright HLP Inc. 2021,"Received on: 2021-11-08<p/> Found Near: 25900 block of  REITH RD<p/> Description: Black / White Spayed Female Domestic Shorthair Cat<p/> Age: 6 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-140781,A650328,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2332190,LOST,Chopper,Dog,Under 1 year<p/>,Male,Pit Bull,Unknown,10/6/2021 0:00,Date Lost,NEAR  90TH AND GREENWOOD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2332190,Image Copyright HLP Inc. 2021,"Description: Grey brindle with a white chest and cropped ears. Weighs maybe 40lbs. 6 months old but very mellow for his age. Super quiet friendly and sweet. Wearing a grey/blue camo pattern collar and dark blue wonderwalker harness when Lost.<p/>Age: Under 1 year<p/>Location Lost: Near 90th and Greenwood, Seattle WA  98125<p/>Lost Date: 10/06/2021<p/>",
K21-141714,A652729,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652729,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,5 MONTHS,Male,Domestic Shorthair,Black / White,11/11/2021 0:00,Received on,21600 block of  64TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652729,Image Copyright HLP Inc. 2021,"Received on: 2021-11-11<p/> Found Near: 21600 block of  64TH AVE S<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 5 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-141137,A651095,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A651095,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mateo,Cat,5 MONTHS,Neutered Male,Domestic Shorthair,Black,10/20/2021 0:00,Received on,200 block of  W CLOUDY ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651095,Image Copyright HLP Inc. 2021,"Received on: 2021-10-20<p/> Found Near: 200 block of  W CLOUDY ST<p/> Description: Black Neutered Male Domestic Shorthair Cat<p/> Age: 5 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K21-141020,A650875,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2335542,LOST,Eclipse,Cat,Under 1 year<p/>,Female,Domestic Mediumhair,Unknown,10/16/2021 0:00,Date Lost,BEHIND  BUILDING 1,AT 5403 LAKEMONT BLVD SE BELLEVUE,,98006,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2335542,Image Copyright HLP Inc. 2021,"Description: Black cat. Small white spot on the upper chest. Yellow eyes. 6 months old.<p/>Age: Under 1 year<p/>Location Lost: Behind building 1, at 5403 Lakemont Blvd SE, Bellevue, 98006, Bellevue WA  98006<p/>Lost Date: 10/16/2021<p/>",
K21-141610,A652357,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,7 WEEKS,Male,Domestic Shorthair,Brn Tabby,11/7/2021 0:00,Received on,3700 block of  S 144TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652357,Image Copyright HLP Inc. 2021,Received on: 2021-11-07<p/> Found Near: 3700 block of  S 144TH ST<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 7 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K21-140857,A650501,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2333207,LOST,Summer,Dog,Over 1 year<p/>,Female,Chihuahua - Smooth Coated,Unknown,10/10/2021 0:00,Date Lost,12800 block of  1ST AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2333207,Image Copyright HLP Inc. 2021,"Description: Tan w/ white paws and white chest <p/>Microchipped; Spayed<p/>Age: Over 1 year<p/>Location Lost: 12839 1st Ave S, Burien WA  98168<p/>Lost Date: 10/10/2021<p/>",
K21-141460,A651891,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A651891,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Bird,1 YEAR,Female,Chicken,Brown / Gold,11/1/2021 0:00,Received on,24400 block of  119TH AVE SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651891,Image Copyright HLP Inc. 2021,"Received on: 2021-11-01<p/> Found Near: 24400 block of  119TH AVE SE<p/> Description: Brown / Gold Female Chicken Bird<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-141601,A652336,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2348432,LOST,Izumi,Dog,Over 1 year<p/>,Female,Korean Jindo,Unknown,10/15/2021 0:00,Date Lost,JENKINS  CREEK PARK,COVINGT,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2348432,Image Copyright HLP Inc. 2021,"Description: Medium sized white female dog. <p/>Korean Jindo mix looks similar to a small husky.<p/>Right ear is bent, left is erect.<p/>Dog meat trade survivor, very elusive and scared of humans.<p/>Age: Over 1 year<p/>Location Lost: Jenkins Creek Park, Covington, WA, Covington WA  98042<p/>Lost Date: 10/15/2021<p/>",
K21-141545,A652160,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Sierra,Cat,4 WEEKS,Female,Domestic Shorthair,Dilute Tor,11/4/2021 0:00,Received on,36600 block of  48TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652160,Image Copyright HLP Inc. 2021,Received on: 2021-11-04<p/> Found Near: 36600 block of  48TH AVE S<p/> Description: Dilute Tor Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K21-140580,A649719,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2329628,LOST,Lowry,Cat,Over 1 year<p/>,Male,Bengal,Unknown,9/30/2021 0:00,Date Lost,4500 block of  164TH CT NE,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2329628,Image Copyright HLP Inc. 2021,"Description: Silver/grey marbled bengal with Green eyes. Male, slim, 2 years old. No collar. Friendly. Has a history of going into other peoples homes. Microchipped (991001002912222)<p/>Age: Over 1 year<p/>Location Lost: 4518 164th Ct NE Redmond, Redmond CA  98052<p/>Lost Date: 09/30/2021<p/>",
K21-140795,A650355,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2332425,LOST,Tiger,Cat,Over 1 year<p/>,Unknown,Domestic Shorthair,Unknown,10/6/2021 0:00,Date Lost,LAKE  MERIDIAN (KENT),,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2332425,Image Copyright HLP Inc. 2021,"Description: Orange Tabby. A year old. Microchiped.<p/>Age: Over 1 year<p/>Location Lost: Lake Meridian (Kent), Kent WA  98042<p/>Lost Date: 10/06/2021<p/>",
K21-141176,A651185,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2338682,LOST,Cotton,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,10/18/2021 0:00,Date Lost,NE  38TH COURT,SAMMAMISH,WA,98074,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2338682,Image Copyright HLP Inc. 2021,"Description: He is male, all white, with blue eyes, bobbed tail, about 7-8 pounds, 15 years old.  Very sweet and friendly.<p/>Age: Over 1 year<p/>Location Lost: NE 38th Court, Sammamish, WA 98074, Sammamish WA  98074<p/>Lost Date: 10/18/2021<p/>",
K21-141618,A652371,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652371,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Deb,Cat,11 WEEKS,Spayed Female,Domestic Shorthair,Tortie,11/7/2021 0:00,Received on,41000 block of  212TH AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652371,Image Copyright HLP Inc. 2021,"Received on: 2021-11-07<p/> Found Near: 41000 block of  212TH AVE SE<p/> Description: Tortie Spayed Female Domestic Shorthair Cat<p/> Age: 11 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K21-141394,A651665,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A651665,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Apple,Rabbit Sh,1 YEAR,Spayed Female,Rabbit Sh,White / Black,10/30/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651665,Image Copyright HLP Inc. 2021,"Received on: 2021-10-30<p/> Description: White / Black<p/>  Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 1 YEAR<p/> Adoption Fee: $15.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",GREEN
K21-141752,A652802,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652802,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,8 WEEKS,Female,Domestic Mediumhair,Gray Tabby / Dilute Tor,11/12/2021 0:00,Received on,3700 block of  S 144TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652802,Image Copyright HLP Inc. 2021,"Received on: 2021-11-12<p/> Found Near: 3700 block of  S 144TH ST<p/> Description: Gray Tabby / Dilute Tor Female Domestic Mediumhair Cat<p/> Age: 8 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-141132,A651088,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2337369,LOST,King,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,10/14/2021 0:00,Date Lost,23RD  ST SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2337369,Image Copyright HLP Inc. 2021,"Description: An all black cat with a chip in his ear at the very top. light green eyes. last seen with a red Hawaiian collar but it may have ripped off. very friendly<p/>Age: Over 1 year<p/>Location Lost: 23rd st se, auburn WA  98002<p/>Lost Date: 10/14/2021<p/>",
K21-140871,A650542,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2333376,In Public Home,,Cat,Under 1 year<p/>,Unknown,Domestic Shorthair,Black,10/9/2021 0:00,Date Found,TIMBERLANE TIMBERLANE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2333376,Image Copyright HLP Inc. 2021,"Description: Black kitty. No collar no chip.<p/>Age: Under 1 year<p/>Found Near: Timberlane, Covington WA  98042<p/>Found Date: 10/09/2021<p/>",
